ticker,date,open,high,low,close,volume
NFLX,12/28/20 18:01,519.675,519.895,519.56,519.76,311
NFLX,12/28/20 18:02,519.76,519.76,519.76,519.76,0
NFLX,12/28/20 18:03,520.41,520.85,520.34,520.8,510
NFLX,12/28/20 18:04,520.795,520.795,520.38,520.5,716
NFLX,12/28/20 18:05,520.55,520.55,520.4,520.4,300
NFLX,12/28/20 18:06,520.14,520.2,519.345,520.005,159
NFLX,12/28/20 18:07,519.98,520.06,519.96,519.96,350
NFLX,12/28/20 18:08,519.97,520.26,519.97,520.26,401
NFLX,12/28/20 18:09,520.26,520.26,520.26,520.26,0
NFLX,12/28/20 18:10,520.04,520.04,520.04,520.04,1
NFLX,12/28/20 18:11,520.06,520.06,519.59,519.59,179
NFLX,12/28/20 18:12,519.59,519.59,519.59,519.59,0
NFLX,12/28/20 18:13,519.59,519.59,519.59,519.59,0
NFLX,12/28/20 18:14,519.59,519.59,519.59,519.59,0
NFLX,12/28/20 18:15,519.77,519.77,519.76,519.765,348
NFLX,12/28/20 18:16,519.8,519.8,519.8,519.8,11
NFLX,12/28/20 18:17,519.78,520.01,519.78,520.01,301
NFLX,12/28/20 18:18,519.87,519.87,519.87,519.87,100
NFLX,12/28/20 18:19,519.87,519.87,519.87,519.87,0
NFLX,12/28/20 18:20,520.005,520.005,519.99,519.99,156
NFLX,12/28/20 18:21,520.49,520.57,520.44,520.57,263
NFLX,12/28/20 18:22,520.59,520.59,520.295,520.35,48
NFLX,12/28/20 18:23,520.04,520.04,519.96,519.96,202
NFLX,12/28/20 18:24,519.54,519.54,519.54,519.54,2
NFLX,12/28/20 18:25,519.7,519.89,519.7,519.89,300
NFLX,12/28/20 18:26,519.9,520.205,519.71,520.07,801
NFLX,12/28/20 18:27,520.28,520.74,520.19,520.74,630
NFLX,12/28/20 18:28,520.94,521.4,520.9,521.27,1252
NFLX,12/28/20 18:29,521.58,521.7,521.57,521.59,550
NFLX,12/28/20 18:30,522.04,522.24,521.545,521.545,439
NFLX,12/28/20 18:31,521.55,521.95,521.55,521.95,537
NFLX,12/28/20 18:32,522.49,522.52,522.47,522.52,300
NFLX,12/28/20 18:33,522.76,522.96,522.76,522.86,1000
NFLX,12/28/20 18:34,523.02,523.02,522.75,522.81,438
NFLX,12/28/20 18:35,522.82,522.82,522.5,522.8,651
NFLX,12/28/20 18:36,522.8,523.48,522.8,523.36,772
NFLX,12/28/20 18:37,523.39,523.39,523.39,523.39,100
NFLX,12/28/20 18:38,523.49,523.65,523.335,523.36,632
NFLX,12/28/20 18:39,523.34,523.44,523.18,523.18,700
NFLX,12/28/20 18:40,523.4,523.4,522.91,522.91,402
NFLX,12/28/20 18:41,522.78,522.78,522.14,522.14,1451
NFLX,12/28/20 18:42,522.14,522.14,522.01,522.08,458
NFLX,12/28/20 18:43,521.81,521.84,521.46,521.675,564
NFLX,12/28/20 18:44,521.75,521.75,521.75,521.75,24
NFLX,12/28/20 18:45,521.75,521.75,521.75,521.75,0
NFLX,12/28/20 18:46,521.75,521.75,521.75,521.75,0
NFLX,12/28/20 18:47,521.685,521.695,521.685,521.695,400
NFLX,12/28/20 18:48,521.8,521.8,521.8,521.8,65
NFLX,12/28/20 18:49,521.41,521.44,521.41,521.415,403
NFLX,12/28/20 18:50,521.415,521.415,521.415,521.415,0
NFLX,12/28/20 18:51,521.17,521.17,521.15,521.15,150
NFLX,12/28/20 18:52,521.15,521.15,521.15,521.15,0
NFLX,12/28/20 18:53,521.15,521.15,521.15,521.15,0
NFLX,12/28/20 18:54,521.1,521.1,521.08,521.08,149
NFLX,12/28/20 18:55,521.035,521.035,521.035,521.035,1
NFLX,12/28/20 18:56,521.035,521.035,521.035,521.035,0
NFLX,12/28/20 18:57,520.73,520.73,520.73,520.73,4
NFLX,12/28/20 18:58,520.41,520.41,520.41,520.41,2
NFLX,12/28/20 18:59,520.4,520.4,520.4,520.4,100
NFLX,12/28/20 19:00,520.4,520.4,520.4,520.4,0
